.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR6913107_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913107_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913109_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913109_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913203_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913203_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913205_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913205_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913302_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913302_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913304_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913304_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913331_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913331_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
ERR6913333_1	1	1	1	0.25	0.25	0.25	0.5	1	0.25	1
ERR6913333_2	1	1	1	0.25	0.25	1	0.5	1	0.25	1
