Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913107_1	(1, 37.0)	(2, 37.0)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 35.8)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(12, 36.239999999999995)	(17, 36.760000000000005)	(22, 37.0)	(27, 37.0)	(32, 36.760000000000005)	(37, 37.0)	(42, 37.0)	(47, 37.0)	(52, 37.0)	(57, 36.24)	(62, 36.760000000000005)	(67, 37.0)	(72, 36.04)	(77, 37.0)	(82, 36.519999999999996)	(87, 36.480000000000004)	(92, 36.15555555555555)	(97, 37.0)	(102, 37.0)	(107, 36.7)	(112, 36.7)	(117, 37.0)	(122, 36.35)	(127, 37.0)	(132, 35.75)	(137, 37.0)	(142, 37.0)	(147, 36.65714285714286)	(150, 35.5)
ERR6913107_2	(1, 37.0)	(2, 37.0)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(12, 36.760000000000005)	(17, 36.760000000000005)	(22, 36.04)	(27, 36.760000000000005)	(32, 36.519999999999996)	(37, 34.96)	(42, 34.68)	(47, 36.0)	(52, 36.28)	(57, 36.519999999999996)	(62, 36.760000000000005)	(67, 35.440000000000005)	(72, 35.519999999999996)	(77, 35.480000000000004)	(82, 35.72)	(87, 35.70222222222222)	(92, 35.32222222222222)	(97, 34.45)	(102, 35.45)	(107, 36.1)	(112, 35.15)	(117, 35.75)	(122, 34.2)	(127, 35.1)	(132, 36.1)	(137, 35.75)	(142, 35.45)	(147, 34.542857142857144)	(150, 33.42857142857143)
ERR6913109_1	(1, 37.0)	(2, 35.8)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(12, 36.760000000000005)	(17, 36.52)	(22, 36.04)	(27, 36.239999999999995)	(32, 36.279999999999994)	(37, 35.760000000000005)	(42, 36.480000000000004)	(47, 36.760000000000005)	(52, 36.760000000000005)	(57, 36.239999999999995)	(62, 36.239999999999995)	(67, 35.28)	(72, 36.52)	(77, 36.239999999999995)	(82, 36.480000000000004)	(87, 36.519999999999996)	(92, 35.76)	(97, 35.760000000000005)	(102, 36.43333333333333)	(107, 36.7)	(112, 36.4)	(117, 36.65714285714286)	(122, 37.0)	(127, 36.519999999999996)	(132, 37.0)	(137, 36.519999999999996)	(142, 37.0)	(147, 36.519999999999996)	(150, 37.0)
ERR6913109_2	(1, 37.0)	(2, 33.2)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 35.8)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(12, 36.519999999999996)	(17, 36.239999999999995)	(22, 36.760000000000005)	(27, 37.0)	(32, 35.760000000000005)	(37, 36.239999999999995)	(42, 35.52)	(47, 37.0)	(52, 36.480000000000004)	(57, 35.720000000000006)	(62, 35.519999999999996)	(67, 36.0)	(72, 36.239999999999995)	(77, 36.04)	(82, 36.239999999999995)	(87, 36.239999999999995)	(92, 36.0)	(97, 36.04)	(102, 35.78333333333333)	(107, 36.4)	(112, 36.05714285714286)	(117, 34.82857142857142)	(122, 37.0)	(127, 35.559999999999995)	(132, 34.440000000000005)	(137, 34.44)	(142, 35.48)	(147, 36.519999999999996)	(150, 37.0)
ERR6913203_1	(1, 37.0)	(2, 35.8)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 35.8)	(7, 37.0)	(8, 37.0)	(9, 35.8)	(12, 36.480000000000004)	(17, 36.519999999999996)	(22, 36.519999999999996)	(27, 36.760000000000005)	(32, 37.0)	(37, 34.96)	(42, 36.0)	(47, 35.96)	(52, 36.239999999999995)	(57, 35.8)	(62, 35.519999999999996)	(67, 36.28)	(72, 36.04)	(77, 35.720000000000006)	(82, 36.480000000000004)	(87, 35.239999999999995)	(92, 36.760000000000005)	(97, 36.760000000000005)	(102, 36.199999999999996)	(107, 36.65714285714286)	(112, 36.31428571428571)	(117, 34.86666666666667)	(122, 37.0)	(127, 36.6)	(132, 34.93333333333333)	(137, 35.480000000000004)	(142, 34.99999999999999)	(147, 36.04)	(150, 37.0)
ERR6913203_2	(1, 33.2)	(2, 35.8)	(3, 37.0)	(4, 37.0)	(5, 35.8)	(6, 37.0)	(7, 35.8)	(8, 35.8)	(9, 34.6)	(12, 34.96)	(17, 36.52)	(22, 36.04)	(27, 37.0)	(32, 36.760000000000005)	(37, 35.760000000000005)	(42, 36.52)	(47, 36.519999999999996)	(52, 36.279999999999994)	(57, 35.279999999999994)	(62, 36.760000000000005)	(67, 35.48)	(72, 35.76)	(77, 37.0)	(82, 36.519999999999996)	(87, 36.480000000000004)	(92, 35.52)	(97, 35.760000000000005)	(102, 37.0)	(107, 36.25714285714285)	(112, 36.65714285714286)	(117, 37.0)	(122, 33.266666666666666)	(127, 34.93333333333333)	(132, 33.66666666666667)	(137, 35.480000000000004)	(142, 33.480000000000004)	(147, 35.480000000000004)	(150, 35.5)
ERR6913205_1	(1, 35.8)	(2, 37.0)	(3, 37.0)	(4, 34.4)	(5, 34.4)	(6, 35.8)	(7, 35.8)	(8, 37.0)	(9, 37.0)	(12, 35.480000000000004)	(17, 35.760000000000005)	(22, 35.279999999999994)	(27, 34.480000000000004)	(32, 36.0)	(37, 35.48)	(42, 35.76)	(47, 35.8)	(52, 35.480000000000004)	(57, 35.239999999999995)	(62, 35.08)	(67, 35.28)	(72, 35.239999999999995)	(77, 35.480000000000004)	(82, 34.8)	(87, 34.52)	(92, 34.519999999999996)	(97, 35.239999999999995)	(102, 36.279999999999994)	(107, 36.04)	(112, 33.96)	(117, 35.519999999999996)	(122, 34.72)	(127, 36.239999999999995)	(132, 34.6)	(137, 36.25714285714285)	(142, 32.25714285714286)	(147, 36.6)	(150, 37.0)
ERR6913205_2	(1, 34.4)	(2, 35.8)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 34.4)	(7, 34.6)	(8, 35.8)	(9, 35.8)	(12, 36.239999999999995)	(17, 35.239999999999995)	(22, 35.8)	(27, 36.239999999999995)	(32, 36.239999999999995)	(37, 36.04)	(42, 35.8)	(47, 34.72)	(52, 36.760000000000005)	(57, 35.76)	(62, 35.279999999999994)	(67, 36.519999999999996)	(72, 36.52)	(77, 35.440000000000005)	(82, 35.72)	(87, 35.480000000000004)	(92, 36.760000000000005)	(97, 36.52)	(102, 36.519999999999996)	(107, 35.72)	(112, 34.760000000000005)	(117, 36.0)	(122, 36.279999999999994)	(127, 35.193333333333335)	(132, 36.25714285714285)	(137, 33.05714285714286)	(142, 33.400000000000006)	(147, 36.6)	(150, 33.75)
ERR6913302_1	(1, 37.0)	(2, 37.0)	(3, 37.0)	(4, 35.8)	(5, 37.0)	(6, 35.8)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(12, 36.760000000000005)	(17, 37.0)	(22, 37.0)	(27, 37.0)	(32, 37.0)	(37, 37.0)	(42, 36.519999999999996)	(47, 36.760000000000005)	(52, 37.0)	(57, 36.519999999999996)	(62, 36.760000000000005)	(67, 37.0)	(72, 37.0)	(77, 36.46666666666666)	(82, 37.0)	(87, 37.0)	(92, 36.733333333333334)	(97, 36.733333333333334)	(102, 36.46666666666666)	(107, 37.0)	(112, 37.0)	(117, 37.0)	(122, 35.75)	(127, 36.7)	(132, 37.0)	(137, 37.0)	(142, 36.65714285714286)	(147, 37.0)	(150, 37.0)
ERR6913302_2	(1, 37.0)	(2, 35.8)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 35.8)	(8, 37.0)	(9, 37.0)	(12, 36.52)	(17, 35.96)	(22, 36.279999999999994)	(27, 35.760000000000005)	(32, 36.239999999999995)	(37, 36.0)	(42, 36.0)	(47, 36.0)	(52, 36.52)	(57, 36.28)	(62, 35.8)	(67, 36.760000000000005)	(72, 36.46666666666666)	(77, 36.15555555555555)	(82, 36.15555555555555)	(87, 37.0)	(92, 36.733333333333334)	(97, 36.46666666666666)	(102, 36.46666666666666)	(107, 36.733333333333334)	(112, 36.422222222222224)	(117, 35.888888888888886)	(122, 36.7)	(127, 37.0)	(132, 36.65714285714286)	(137, 35.91428571428571)	(142, 35.62857142857142)	(147, 36.65714285714286)	(150, 35.8)
