Sample	0	1	2	3	4	5	6
ERR6913107_1	(36.0, 7.0)	(37.0, 3.0)					
ERR6913107_2	(31.0, 1.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 3.0)	(36.0, 3.0)	(37.0, 2.0)
ERR6913109_1	(35.0, 3.0)	(36.0, 5.0)	(37.0, 2.0)				
ERR6913109_2	(32.0, 1.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 1.0)	(36.0, 6.0)	(37.0, 2.0)	
ERR6913203_1	(34.0, 1.0)	(35.0, 1.0)	(36.0, 7.0)	(37.0, 1.0)			
ERR6913203_2	(34.0, 2.0)	(35.0, 1.0)	(36.0, 5.0)	(37.0, 2.0)			
ERR6913205_1	(31.0, 1.0)	(32.0, 1.0)	(33.0, 1.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 7.0)	
ERR6913205_2	(32.0, 1.0)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 2.0)	(36.0, 6.0)		
ERR6913302_1	(36.0, 10.0)						
ERR6913302_2	(34.0, 1.0)	(35.0, 0.0)	(36.0, 9.0)				
ERR6913304_1	(34.0, 1.0)	(35.0, 1.0)	(36.0, 7.0)	(37.0, 1.0)			
ERR6913304_2	(35.0, 1.0)	(36.0, 9.0)					
ERR6913331_1	(36.0, 8.0)	(37.0, 2.0)					
ERR6913331_2	(36.0, 7.0)	(37.0, 3.0)					
ERR6913333_1	(33.0, 2.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 7.0)	(37.0, 1.0)		
ERR6913333_2	(36.0, 8.0)	(37.0, 2.0)					
