Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
ERR6913107_1	(88, 1.0)	(90, 0.0)	(92, 1.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 1.0)	(144, 0.0)	(146, 0.0)	(148, 1.0)	(150, 6.0)														
ERR6913107_2	(88, 1.0)	(90, 0.0)	(92, 1.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 1.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 7.0)														
ERR6913109_1	(98, 1.0)	(100, 1.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 1.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 1.0)	(122, 1.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 1.0)	(150, 4.0)																			
ERR6913109_2	(98, 1.0)	(100, 1.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 1.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 1.0)	(122, 1.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 5.0)																			
ERR6913203_1	(96, 1.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 2.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 1.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 1.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 5.0)																		
ERR6913203_2	(96, 1.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 2.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 1.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 1.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 5.0)																		
ERR6913205_1	(125, 1.0)	(126, 1.0)	(127, 0.0)	(128, 1.0)	(129, 0.0)	(130, 0.0)	(131, 0.0)	(132, 0.0)	(133, 0.0)	(134, 0.0)	(135, 0.0)	(136, 0.0)	(137, 0.0)	(138, 0.0)	(139, 0.0)	(140, 0.0)	(141, 0.0)	(142, 0.0)	(143, 0.0)	(144, 1.0)	(145, 0.0)	(146, 0.0)	(147, 1.0)	(148, 0.0)	(149, 1.0)	(150, 0.0)	(151, 4.0)																			
ERR6913205_2	(125, 1.0)	(126, 1.0)	(127, 0.0)	(128, 1.0)	(129, 0.0)	(130, 0.0)	(131, 0.0)	(132, 0.0)	(133, 0.0)	(134, 0.0)	(135, 0.0)	(136, 0.0)	(137, 0.0)	(138, 0.0)	(139, 0.0)	(140, 0.0)	(141, 0.0)	(142, 0.0)	(143, 0.0)	(144, 1.0)	(145, 0.0)	(146, 0.0)	(147, 1.0)	(148, 1.0)	(149, 0.0)	(150, 0.0)	(151, 4.0)																			
ERR6913302_1	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 1.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 1.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 7.0)			
ERR6913302_2	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 1.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 1.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 7.0)			
ERR6913304_1	(74, 1.0)	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 1.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 1.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 1.0)	(150, 5.0)							
ERR6913304_2	(74, 1.0)	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 1.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 1.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 6.0)							
ERR6913331_1	(60, 1.0)	(62, 0.0)	(64, 0.0)	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 1.0)	(108, 1.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 1.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 4.0)
ERR6913331_2	(60, 1.0)	(62, 0.0)	(64, 0.0)	(66, 1.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 1.0)	(108, 1.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 1.0)	(144, 0.0)	(146, 0.0)	(148, 1.0)	(150, 3.0)
ERR6913333_1	(78, 1.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 1.0)	(98, 1.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 1.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 1.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 1.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 1.0)	(150, 3.0)									
ERR6913333_2	(78, 1.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 1.0)	(98, 1.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 1.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 1.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 1.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 4.0)									
