Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913107_1		10.0	48.0	137.0	150	30.0	9.999999999999999e-06	7e-06	70.0
ERR6913107_2		10.0	49.0	137.2	150	30.0	9.999999999999999e-06		
ERR6913109_1		0.0	49.0	130.0	122	30.0	9.999999999999999e-06	7e-06	70.0
ERR6913109_2		0.0	48.0	130.2	122	30.0	9.999999999999999e-06		
ERR6913203_1		10.0	51.0	130.0	134	30.0	9.999999999999999e-06	7e-06	70.0
ERR6913203_2		10.0	53.0	130.0	134	30.0	9.999999999999999e-06		
ERR6913205_1		0.0	51.0	142.3	147	30.0	9.999999999999999e-06	9.999999999999999e-06	100.0
ERR6913205_2		0.0	52.0	142.2	147	30.0	9.999999999999999e-06		
ERR6913302_1		0.0	46.0	136.4	150	30.0	9.999999999999999e-06	6e-06	60.0
ERR6913302_2		0.0	46.0	136.4	150	30.0	9.999999999999999e-06		
ERR6913304_1		0.0	40.0	128.4	148	30.0	9.999999999999999e-06	8e-06	80.0
ERR6913304_2		0.0	41.0	128.6	150	30.0	9.999999999999999e-06		
ERR6913331_1		0.0	43.0	116.0	108	30.0	9.999999999999999e-06	9.999999999999999e-06	100.0
ERR6913331_2		0.0	43.0	115.8	108	30.0	9.999999999999999e-06		
ERR6913333_1		0.0	50.0	124.2	122	40.0	9.999999999999999e-06	9.999999999999999e-06	100.0
ERR6913333_2		0.0	50.0	124.4	122	30.0	9.999999999999999e-06		
x_pauca_bowtie_merged2Fuso	20.0								
x_pauca_bowtie_merged2PhiX	0.0								
x_pauca_bowtie_merged2SARS-CoV-2	0.0								
